Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1µ,C19666
"C10, C11, C12, C13, C14, C7, C8, C9",0402,8,100n,C1525
"C3, C4",0402,2,15p,C1548
"C5, C6",0402,2,1µ,C52923
D1,0402,1,LED,C130719
D2,D_SOD-323,1,B5817,C123899
F1,0603,1,Polyfuse,C69679
FB1,0603,1,FerriteBead_Small,C98288
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-13B,1,USB_C_Receptacle_USB2.0,C2848619
J6,vik-keyboard-connector-horizontal,1,~,C479750
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"R1, R3, R8",0402,3,1k,C11702
"R10, R4, R5",0402,3,5.1k,C25905
"R11, R2, R9",0402,3,10k,C25744
"R6, R7",0402,2,27,C25100
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm,1,GD25Q80CEIGR,C395484
U3,SOT-23-5,1,XC6210B332MR-G,C82942
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,C2149204
