Designator,Mid X,Mid Y,Rotation,Layer
C1,153.25,-89.45,0.0,top
C10,149.73,-88.75,0.0,top
C11,157.1,-93.6,270.0,top
C12,147.7,-93.7,90.0,top
C13,157.825,-98.15,90.0,top
C14,154.5,-103.7,0.0,top
C2,156.35,-89.45,180.0,top
C3,150.1,-106.15,0.0,top
C4,152.1,-106.15,180.0,top
C5,158.1,-93.6,270.0,top
C6,156.05,-92.15,0.0,top
C7,152.1,-91.4,90.0,top
C8,156.0,-103.675,270.0,top
C9,146.9,-98.7,270.0,top
D1,154.5,-105.9,0.0,top
D2,151.7,-87.05,270.0,top
F1,149.9,-86.7,270.0,top
FB1,147.25,-84.65,90.0,top
J1,152.4,-75.7,180.0,top
J5,148.15,-107.4,270.0,top
J6,152.425,-104.963,180.0,bottom
R1,154.5,-104.8,180.0,top
R10,156.05,-91.1,180.0,top
R11,157.6,-91.61,90.0,top
R2,157.4,-101.9,0.0,top
R3,147.3,-101.9,180.0,top
R4,157.95,-85.4,270.0,top
R5,148.55,-86.15,270.0,top
R6,153.4,-91.5,270.0,top
R7,154.5,-91.5,270.0,top
R8,152.85,-104.3,90.0,top
R9,147.78,-88.75,0.0,top
U1,152.4,-97.0,0.0,top
U2,148.75,-90.6,0.0,top
U3,154.85,-86.95,0.0,top
Y1,150.8,-103.9,270.0,top
